Camera TTC,Lidar TTC
0,0
13.6946,12.9722
15.6837,12.264
12.9536,16.963
14.7811,6.51271
15.1374,384.178
14.1362,13.869
15.8536,14.026
14.6126,12.9569
14.4271,15.8894
11.4676,9.85736
12.5883,14.9877
11.1919,10.1
10.6701,9.22307
11.3687,10.9678
10.7396,8.09422
9.85549,8.81392
9.2962,10.2926
9.34699,8.30978
10.6097,7.64316
9.0538,5.45869
8.31907,6.8337
8.14622,6.80636
9.92368,8.43069
9.1302,6.70212
9.48839,6.82999
10.381,8.45277
10.7634,7.06
10.5325,12.6681
9.51464,7.25063
10.3979,7.24126
10.8664,10.4382
11.3696,10.9404
11.8848,9.22618
9.71149,7.60959
8.67969,6.59279
7.50081,10.6294
7.5566,7.03287
10.5585,4.46839
10.4623,12.0581
8.82263,3.82803
11.2574,8.76489
7.91572,13.0475
8.03621,6.51064
12.7708,7.4123
9.67991,6.2395
11.6807,5.68291
10.2013,9.81491
11.9923,12.0394
15.5666,13.7636
17.5414,13.6636
26.354,12.0866
41.6323,13.053
216.604,-443.932
-98.5018,-222.066
-66.6506,-222.166
-467.239,222.066
-531.629,-222.166
-101.374,-74.1495
-292.372,111.133
-397.3,-444.632
-258.034,88.818
-224.728,-63.5431
-332.066,-89.058
-294.665,55.5632
-352.268,63.4003
-247.222,-148.044
-269.258,-63.5431
-589.195,inf
-520.863,-222.516
-219.282,49.3454
-1672.65,147.944
1877.08,-44.4811
-1125.43,444.732
2102.61,74.0161
1910.45,147.944
1899.56,-29.6869
