Camera TTC,Lidar TTC
6.95321e-310,2.96439e-323
12.5832,12.9722
14.8952,12.264
13.5944,16.963
14.1511,6.51271
15.383,384.178
12.2034,13.869
16.0513,14.026
14.4213,12.9569
14.0061,15.8894
11.8933,9.85736
13.0189,14.9877
10.4319,10.1
10.2577,9.22307
10.4786,10.9678
9.25159,8.09422
10.0112,8.81392
9.29838,10.2926
9.18666,8.30978
9.69527,7.64316
8.36781,5.45869
9.01464,6.8337
7.9983,6.80636
9.3628,8.43069
8.31903,6.70212
9.31958,6.82999
9.6135,8.45277
9.92801,7.06
9.76893,12.6681
9.67387,7.25063
9.62557,7.24126
11.1502,10.4382
11.2721,10.9404
10.7923,9.22618
9.11101,7.60959
8.8905,6.59279
7.67404,10.6294
7.2547,7.03287
8.53036,4.46839
10.5645,12.0581
8.2782,3.82803
8.45604,8.76489
8.43661,13.0475
7.82699,6.51064
8.91979,7.4123
8.49723,6.2395
9.91186,5.68291
10.9388,9.81491
11.3885,12.0394
14.2297,13.7636
20.2872,13.6636
23.9756,12.0866
42.2323,13.053
121.005,-443.932
-117.229,-222.066
-87.2123,-222.166
3566.24,222.066
-458.716,-222.166
-135.119,-74.1495
-296.835,111.133
-501.923,-444.632
-427.331,88.818
-335.156,-63.5431
-456.01,-89.058
-401.478,55.5632
-451.23,63.4003
-332.405,-148.044
-373.281,-63.5431
-777.929,inf
-621.579,-222.516
-244.855,49.3454
-1495.71,147.944
1726.36,-44.4811
-1888.59,444.732
1361.53,74.0161
1411.92,147.944
1334.92,-29.6869
