Camera TTC,Lidar TTC
6.95274e-310,2.96439e-323
12.9115,12.9722
13.7941,12.264
13.8888,13.9161
14.6116,7.11572
14.7461,16.2511
15.4683,12.4213
16.3814,34.3404
14.1452,18.7875
14.5223,15.8894
11.9038,9.85736
12.6519,3.83244
10.7585,-10.8537
10.3211,9.22307
9.70358,10.9678
9.78819,8.09422
10.1785,3.17535
9.63517,-9.99424
9.10764,8.30978
9.53354,7.64316
8.66057,4.73885
8.76558,5.2553
8.20299,9.69387
9.0567,8.43069
8.72253,6.92554
8.75202,7.14768
9.1109,9.97707
9.93295,7.06
9.59514,12.6681
9.25412,2.65648
9.65718,-10.5327
10.9183,11.0404
12.0414,10.9404
10.374,9.22618
9.35334,7.60959
8.56077,6.59279
7.76403,10.6294
7.39129,3.46645
8.61991,12.7513
9.45116,12.0581
8.26897,3.82803
8.98417,6.3782
6.89813,4.73011
8.00934,-44.3922
9.07023,7.4123
8.79194,6.2395
9.20572,5.68291
10.2765,9.81491
11.0972,12.0394
13.4621,13.7636
19.3345,13.6636
23.3148,12.0866
40.2254,13.053
119.588,-443.932
-108.509,-222.066
-73.6627,-222.166
-4350.11,222.066
-460.444,-222.166
-124.562,-74.1495
-261.469,111.133
-439.261,-444.632
-386.519,88.818
-345.126,-63.5431
-431.99,-89.058
-325.818,55.5632
-349.85,63.4003
-264.149,-148.044
-285.517,-63.5431
-414.351,inf
-513.353,-222.516
-252.846,49.3454
-1250.39,147.944
2518.84,-44.4811
-2235.39,444.732
1289.13,74.0161
1465.51,147.944
2203.11,-29.6869
