Camera TTC,Lidar TTC
0,0
15.3891,12.9722
15.3768,12.264
17.4442,16.963
15.9494,6.51271
19.1889,384.178
15.8419,13.869
15.9424,14.026
14.6763,12.9569
14.4383,15.8894
12.6587,9.85736
13.2657,14.9877
14.0277,10.1
12.5253,9.22307
12.0369,10.9678
9.97278,8.09422
9.91568,8.81392
9.00869,10.2926
9.40696,8.30978
9.63929,7.64316
9.61628,5.45869
9.30582,6.8337
8.14267,6.80636
9.34046,8.43069
8.27626,6.70212
9.19335,6.82999
11.5159,8.45277
10.5441,7.06
10.5574,12.6681
10.7938,7.25063
9.60463,7.24126
11.9257,10.4382
12.3147,10.9404
11.393,9.22618
9.43811,7.60959
8.84475,6.59279
7.81284,10.6294
7.49557,7.03287
11.5148,4.46839
10.9981,12.0581
9.73362,3.82803
9.21974,8.76489
8.14892,13.0475
8.0481,6.51064
9.53701,7.4123
10.4405,6.2395
10.5822,5.68291
10.7663,9.81491
13.9532,12.0394
15.042,13.7636
21.0523,13.6636
22.8924,12.0866
42.1979,13.053
180.328,-443.932
-87.7247,-222.066
-78.4047,-222.166
-546.252,222.066
-1231.79,-222.166
-96.2374,-74.1495
-454.112,111.133
-498.581,-444.632
-296.346,88.818
-349.174,-63.5431
-324.884,-89.058
-304.997,55.5632
-359.027,63.4003
-244.238,-148.044
-311.523,-63.5431
-546.007,inf
-565.923,-222.516
-259.191,49.3454
-808.943,147.944
2236.56,-44.4811
-2751.47,444.732
1220.66,74.0161
1977.93,147.944
2655.18,-29.6869
