Camera TTC,Lidar TTC
6.95261e-310,2.96439e-323
11.9906,12.9722
15.141,12.264
13.5538,16.963
13.9104,6.51271
13.9519,384.178
13.6386,13.869
16.3127,14.026
13.7357,12.9569
12.7964,15.8894
12.3056,9.85736
11.6591,14.9877
10.4699,10.1
10.0426,9.22307
10.9844,10.9678
10.5644,8.09422
10.5782,8.81392
9.04355,10.2926
8.73027,8.30978
9.58721,7.64316
8.20484,5.45869
8.90923,6.8337
7.96628,6.80636
9.11936,8.43069
8.89208,6.70212
8.84789,6.82999
8.93023,8.45277
9.91103,7.06
9.83213,12.6681
10.0306,7.25063
9.74363,7.24126
11.7792,10.4382
11.5379,10.9404
10.6473,9.22618
10.0713,7.60959
8.9109,6.59279
7.57009,10.6294
7.01495,7.03287
8.52762,4.46839
11.1302,12.0581
8.01075,3.82803
7.63091,8.76489
7.24969,13.0475
8.69313,6.51064
8.66609,7.4123
8.56826,6.2395
10.8046,5.68291
11.8861,9.81491
12.0357,12.0394
16.3254,13.7636
18.8553,13.6636
25.0302,12.0866
50.6659,13.053
91.2809,-443.932
-131.895,-222.066
-74.4379,-222.166
-2911.83,222.066
-591.303,-222.166
-118.386,-74.1495
-494.739,111.133
-512.535,-444.632
-441.492,88.818
-308.814,-63.5431
-416.727,-89.058
-524.734,55.5632
-459.611,63.4003
-279.236,-148.044
-293.275,-63.5431
-500.079,inf
-796.9,-222.516
-244.126,49.3454
-2621.18,147.944
2364.54,-44.4811
-1493.33,444.732
1363.94,74.0161
1462.89,147.944
1268.52,-29.6869
