Camera TTC,Lidar TTC
0,0
13.0698,12.9722
24.137,12.264
14.2657,16.963
19.8277,6.51271
20.6777,384.178
21.0062,13.869
18.938,14.026
18.0984,12.9569
17.1536,15.8894
10.5225,9.85736
12.7576,14.9877
13.696,10.1
12.7608,9.22307
9.74078,10.9678
11.87,8.09422
11.1168,8.81392
8.62898,10.2926
11.4096,8.30978
12.3585,7.64316
11.5026,5.45869
8.9139,6.8337
10.5315,6.80636
11.2961,8.43069
10.8748,6.70212
11.1345,6.82999
10.3309,8.45277
14.7665,7.06
16.0846,12.6681
14.171,7.25063
14.4549,7.24126
16.6175,10.4382
14.6878,10.9404
17.3737,9.22618
12.0693,7.60959
9.99358,6.59279
10.5258,10.6294
8.44113,7.03287
10.2044,4.46839
11.0004,12.0581
9.22257,3.82803
7.97542,8.76489
7.46154,13.0475
9.53969,6.51064
8.64984,7.4123
9.1227,6.2395
11.4821,5.68291
12.9971,9.81491
13.7237,12.0394
13.9287,13.7636
20.8752,13.6636
27.4667,12.0866
61.8945,13.053
103.972,-443.932
-410.004,-222.066
-65.1398,-222.166
330.125,222.066
1411.69,-222.166
-250.76,-74.1495
-149.328,111.133
-831.61,-444.632
-2103.31,88.818
-480.556,-63.5431
-462.824,-89.058
-379.393,55.5632
-967.353,63.4003
-754.752,-148.044
-313.469,-63.5431
2403.7,inf
-517.619,-222.516
-845.685,49.3454
-2281.9,147.944
3260.27,-44.4811
-1156.15,444.732
-8495.93,74.0161
5043.31,147.944
10882.8,-29.6869
