Camera TTC,Lidar TTC
6.95329e-310,2.96439e-323
11.9632,12.9722
22.6413,12.264
14.5255,16.963
16.3046,6.51271
28.6365,384.178
14.6337,13.869
15.5437,14.026
18.0417,12.9569
14.7708,15.8894
12.4125,9.85736
12.0802,14.9877
11.2959,10.1
12.6239,9.22307
11.3519,10.9678
13.3109,8.09422
11.0861,8.81392
10.1494,10.2926
12.3893,8.30978
10.7746,7.64316
12.2989,5.45869
9.57408,6.8337
10.9636,6.80636
10.9453,8.43069
9.47323,6.70212
11.0717,6.82999
11.1175,8.45277
14.6204,7.06
11.4833,12.6681
12.4661,7.25063
16.5116,7.24126
19.7935,10.4382
16.298,10.9404
15.5395,9.22618
12.2796,7.60959
10.2885,6.59279
9.06441,10.6294
8.20973,7.03287
10.1985,4.46839
9.93488,12.0581
10.1129,3.82803
8.07931,8.76489
7.62283,13.0475
8.34628,6.51064
8.25921,7.4123
9.37375,6.2395
9.97859,5.68291
10.2379,9.81491
13.1608,12.0394
14.3004,13.7636
18.365,13.6636
26.563,12.0866
45.7377,13.053
156.256,-443.932
-194.125,-222.066
-94.6264,-222.166
-608.361,222.066
-892.078,-222.166
-312.989,-74.1495
-670.764,111.133
-612.474,-444.632
-648.92,88.818
-542.66,-63.5431
-717.54,-89.058
-489.881,55.5632
-1168.81,63.4003
-464.195,-148.044
-639.951,-63.5431
-930.345,inf
-515.179,-222.516
-1418.02,49.3454
-3277.33,147.944
3563.73,-44.4811
-2067.63,444.732
3545.01,74.0161
-22114.4,147.944
18438.2,-29.6869
