Camera TTC,Lidar TTC
6.95272e-310,2.96439e-323
13.0472,12.9722
17.3871,12.264
12.8237,13.9161
15.0627,7.11572
32.6437,16.2511
14.8626,12.4213
17.2715,34.3404
16.2216,18.7875
15.5045,15.8894
12.2923,9.85736
12.9002,3.83244
12.2499,-10.8537
12.0095,9.22307
11.7025,10.9678
13.1804,8.09422
10.3042,3.17535
9.85965,-9.99424
10.3047,8.30978
10.6683,7.64316
12.0106,4.73885
10.6975,5.2553
10.5171,9.69387
10.7686,8.43069
10.7086,6.92554
11.4479,7.14768
12.8134,9.97707
15.3012,7.06
12.9531,12.6681
13.5606,2.65648
12.3171,-10.5327
21.0071,11.0404
20.3858,10.9404
13.7022,9.22618
18.4079,7.60959
10.112,6.59279
9.24737,10.6294
8.84376,3.46645
9.91129,12.7513
12.0932,12.0581
9.62398,3.82803
8.86941,6.3782
7.20807,4.73011
7.66365,-44.3922
8.36348,7.4123
9.00134,6.2395
11.2871,5.68291
11.6163,9.81491
13.4376,12.0394
13.849,13.7636
21.9215,13.6636
27.4074,12.0866
43.3829,13.053
161.966,-443.932
-224.327,-222.066
-99.7963,-222.166
4173.4,222.066
2114.3,-222.166
-1310.74,-74.1495
-318.442,111.133
-531.264,-444.632
-308.494,88.818
-450.651,-63.5431
-991.401,-89.058
-597.61,55.5632
-2138.97,63.4003
-480.789,-148.044
-611.24,-63.5431
-569.984,inf
-400.874,-222.516
-815.106,49.3454
-1367.61,147.944
1895.56,-44.4811
6003.72,444.732
3368.13,74.0161
-inf,147.944
5775.69,-29.6869
