Camera TTC,Lidar TTC
0,0
-19.5904,12.9722
34.2119,12.264
-179.559,16.963
36.8792,6.51271
-1.15697,384.178
-6.54944,13.869
213.171,14.026
-6.79084,12.9569
41.9899,15.8894
246.435,9.85736
-24.7684,14.9877
-778.883,10.1
24.2447,9.22307
43.6302,10.9678
20.1896,8.09422
21.8915,8.81392
17.2514,10.2926
18.6584,8.30978
20.1466,7.64316
18.7645,5.45869
30.8271,6.8337
33.878,6.80636
97.2445,8.43069
20.021,6.70212
114.965,6.82999
-110.13,8.45277
-1424.69,7.06
60.7748,12.6681
438.387,7.25063
-16.5595,7.24126
92.8249,10.4382
-186.801,10.9404
-10.8324,9.22618
54.017,7.60959
26.7076,6.59279
21.1282,10.6294
22.5003,7.03287
-26.5727,4.46839
34.9144,12.0581
29.3417,3.82803
79.5068,8.76489
11.7472,13.0475
22.8295,6.51064
33.8153,7.4123
35.4849,6.2395
40.1561,5.68291
140.144,9.81491
30.2103,12.0394
28.8045,13.7636
44.526,13.6636
183.569,12.0866
152.979,13.053
-607.8,-443.932
-125.988,-222.066
-22.2915,-222.166
-19.5488,222.066
-150.058,-222.166
-62.0476,-74.1495
-26.9191,111.133
-152.836,-444.632
-98.8989,88.818
-73.5454,-63.5431
-274.09,-89.058
-180.075,55.5632
-430.243,63.4003
-213.224,-148.044
-311.425,-63.5431
-229.891,inf
-363.553,-222.516
-370.375,49.3454
-1330.16,147.944
8205.17,-44.4811
-821.646,444.732
-1521.75,74.0161
-624.115,147.944
-784.82,-29.6869
