Camera TTC,Lidar TTC
6.95334e-310,2.96439e-323
10.9973,12.9722
11.2618,12.264
13.2302,13.9161
13.3192,7.11572
24.337,16.2511
13.4545,12.4213
11.4717,34.3404
11.0579,18.7875
12.0137,15.8894
13.3412,9.85736
13.7364,3.83244
10.6666,-10.8537
11.4314,9.22307
10.7624,10.9678
11.3035,8.09422
11.669,3.17535
7.51064,-9.99424
11.6071,8.30978
11.6858,7.64316
11.5658,4.73885
9.3389,5.2553
10.7012,9.69387
9.37517,8.43069
9.16117,6.92554
9.82784,7.14768
10.615,9.97707
12.8765,7.06
12.2412,12.6681
9.99768,2.65648
11.4035,-10.5327
14.1395,11.0404
12.8408,10.9404
15.4089,9.22618
10.0595,7.60959
9.38153,6.59279
7.9597,10.6294
8.08114,3.46645
9.65239,12.7513
10.1021,12.0581
8.57486,3.82803
7.48534,6.3782
7.75539,4.73011
7.55296,-44.3922
7.81346,7.4123
8.2716,6.2395
10.1394,5.68291
9.70377,9.81491
13.7499,12.0394
14.4524,13.7636
16.1402,13.6636
19.2564,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
