Camera TTC,Lidar TTC
0,0
18.5907,12.9722
12.3534,12.264
19.2357,16.963
12.9991,6.51271
-inf,384.178
12.6244,13.869
-inf,14.026
11.6793,12.9569
13.9387,15.8894
55.0532,9.85736
68.4835,14.9877
12.7922,10.1
12.3248,9.22307
13.5788,10.9678
13.7981,8.09422
13.7065,8.81392
7.36692,10.2926
13.5586,8.30978
12.435,7.64316
13.1656,5.45869
12.187,6.8337
11.6534,6.80636
13.2648,8.43069
11.6153,6.70212
15.2323,6.82999
11.8145,8.45277
13.6862,7.06
12.2527,12.6681
12.7683,7.25063
13.8249,7.24126
15.9157,10.4382
19.4593,10.9404
63.3625,9.22618
13.2922,7.60959
13.2697,6.59279
8.19296,10.6294
9.98503,7.03287
12.8451,4.46839
12.8197,12.0581
12.4129,3.82803
9.91218,8.76489
10.3481,13.0475
7.65761,6.51064
10.8113,7.4123
9.90996,6.2395
11.58,5.68291
11.5704,9.81491
13.208,12.0394
16.2634,13.7636
18.9653,13.6636
18.0241,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
