Camera TTC,Lidar TTC
6.95254e-310,2.96439e-323
8.44411,12.9722
12.7571,12.264
11.0632,13.9161
12.8651,7.11572
10.5166,16.2511
11.9483,12.4213
11.8969,34.3404
12.0734,18.7875
12.0205,15.8894
13.3448,9.85736
12.2033,3.83244
12.3725,-10.8537
12.5127,9.22307
11.941,10.9678
10.1798,8.09422
11.8399,3.17535
11.3411,-9.99424
12.0819,8.30978
10.9964,7.64316
12.2294,4.73885
11.079,5.2553
11.8684,9.69387
10.6601,8.43069
7.91705,6.92554
11.8559,7.14768
12.1296,9.97707
11.4836,7.06
13.0112,12.6681
12.8144,2.65648
13.2121,-10.5327
14.9167,11.0404
11.4777,10.9404
17.7187,9.22618
9.96432,7.60959
11.1923,6.59279
8.08487,10.6294
8.01809,3.46645
11.0058,12.7513
8.1015,12.0581
8.03305,3.82803
7.42262,6.3782
8.40446,4.73011
6.72026,-44.3922
7.26494,7.4123
7.20025,6.2395
9.25759,5.68291
10.7644,9.81491
13.6335,12.0394
15.5205,13.7636
18.4779,13.6636
20.4589,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
