Camera TTC,Lidar TTC
0,0
12.392,12.9722
12.1667,12.264
13.8991,16.963
14.1502,6.51271
47.214,384.178
-inf,13.869
12.5616,14.026
11.0145,12.9569
12.6516,15.8894
26.7547,9.85736
15.4976,14.9877
14.7124,10.1
11.4314,9.22307
12.3908,10.9678
11.3634,8.09422
14.3505,8.81392
10.8083,10.2926
11.2569,8.30978
11.5502,7.64316
10.4976,5.45869
11.7957,6.8337
12.352,6.80636
10.7443,8.43069
12.0207,6.70212
12.6387,6.82999
10.1945,8.45277
14.4635,7.06
11.7597,12.6681
11.55,7.25063
14.0139,7.24126
17.4856,10.4382
16.5068,10.9404
16.4734,9.22618
12.8249,7.60959
11.3382,6.59279
9.09185,10.6294
9.35957,7.03287
11.5105,4.46839
10.1215,12.0581
7.7872,3.82803
8.00047,8.76489
7.21519,13.0475
7.20967,6.51064
7.85285,7.4123
9.13099,6.2395
11.0128,5.68291
9.64049,9.81491
14.0019,12.0394
15.4355,13.7636
17.5168,13.6636
18.662,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
