Camera TTC,Lidar TTC
6.95315e-310,2.96439e-323
11.428,12.9722
11.6674,12.264
14.0554,16.963
14.745,6.51271
28.4716,384.178
13.2095,13.869
12.2695,14.026
12.6027,12.9569
12.1408,15.8894
13.8308,9.85736
14.3108,14.9877
11.803,10.1
12.5265,9.22307
11.5341,10.9678
11.4113,8.09422
11.2503,8.81392
7.50634,10.2926
10.822,8.30978
11.1709,7.64316
10.6473,5.45869
10.5527,6.8337
12.4912,6.80636
8.45794,8.43069
9.91608,6.70212
10.9325,6.82999
10.2758,8.45277
14.1341,7.06
12.1692,12.6681
11.6598,7.25063
12.9124,7.24126
14.6595,10.4382
13.7389,10.9404
14.1012,9.22618
10.6219,7.60959
10.957,6.59279
8.79232,10.6294
8.91584,7.03287
11.9377,4.46839
10.7796,12.0581
9.55193,3.82803
7.96817,8.76489
7.91497,13.0475
6.9543,6.51064
8.54312,7.4123
8.64797,6.2395
10.5462,5.68291
10.3592,9.81491
13.3103,12.0394
12.704,13.7636
17.7024,13.6636
18.1359,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
