Camera TTC,Lidar TTC
0,0
-inf,12.9722
11.8451,12.264
15.3508,16.963
79.4451,6.51271
9.444,384.178
13.1368,13.869
12.8514,14.026
-inf,12.9569
10.9013,15.8894
-inf,9.85736
14.4351,14.9877
12.3397,10.1
11.6061,9.22307
-inf,10.9678
12.489,8.09422
11.8915,8.81392
-331.261,10.2926
11.2585,8.30978
-inf,7.64316
11.8196,5.45869
10.3348,6.8337
11.9506,6.80636
11.9506,6.80636
11.9506,6.80636
20.3934,6.54678
-17.7604,8.57182
13.846,7.06
-17.4113,12.6681
-inf,7.25063
15.0919,7.24126
795.337,11.0404
-12.7587,10.9404
404.358,9.22618
-18.2418,7.12179
12.5003,6.59279
10.2037,10.6294
-0.462724,7.03287
-inf,4.46839
-22.9708,12.0581
9.95035,3.82803
-inf,5.8093
74.5218,13.0475
-inf,6.51064
-inf,7.4123
280.068,6.2395
-inf,5.68291
-68.103,9.81491
-201.447,12.0394
-inf,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-29.6288,-222.066
-57.5132,-222.166
-1372.98,222.066
-inf,-222.166
-162.663,-74.1495
-61.2528,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-18.3501,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
