Camera TTC,Lidar TTC
6.95278e-310,2.96439e-323
6.95278e-310,2.96439e-323
6.95278e-310,2.96439e-323
6.95278e-310,2.96439e-323
-inf,7.11572
11.3951,16.2511
11.2009,12.4213
12.7582,34.3404
11.7503,18.7875
10.8502,15.8894
-inf,9.85736
10.6082,3.83244
10.6082,3.83244
11.426,9.22307
10.3555,10.9678
11.9706,8.09422
11.9706,8.09422
11.9706,8.09422
11.9706,8.09422
11.9706,8.09422
11.5216,4.73885
11.5216,4.73885
11.4935,9.69387
11.4935,9.69387
11.4935,9.69387
11.4935,9.69387
14.3697,9.97707
14.3697,7.06
15.001,12.6681
-17.7051,2.65648
14.6,-10.5327
14.5111,11.0404
-20.6809,10.9404
13.3596,9.22618
22.8717,7.60959
10.5341,6.59279
10.9876,10.6294
8.24877,3.46645
-inf,12.7513
-9.59551,12.0581
20.2598,3.82803
-inf,6.3782
8.14599,4.73011
18.9968,-44.3922
12.5811,7.4123
12.1251,6.2395
13.9007,5.68291
-inf,9.81491
-inf,12.0394
186.357,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
