Camera TTC,Lidar TTC
6.95302e-310,2.96439e-323
6.95302e-310,2.96439e-323
-inf,12.264
-inf,12.264
-inf,12.264
12.0837,16.2511
11.2009,12.4213
12.9324,34.3404
13.5704,18.7875
10.3217,15.8894
10.3217,15.8894
18.419,3.83244
7.52437,-10.8537
11.4828,9.22307
7.03331,10.9678
7.03331,10.9678
10.6861,3.17535
10.6861,3.17535
10.6861,3.17535
10.6861,3.17535
11.7213,4.73885
11.7213,4.73885
11.4481,9.69387
11.4481,9.69387
11.4481,9.69387
11.4481,9.69387
12.3073,9.97707
16.4161,7.06
23.0094,12.6681
13.9963,2.65648
12.4201,-10.5327
13.7699,11.0404
-inf,10.9404
12.6506,9.22618
14.3359,7.60959
8.02084,6.59279
12.313,10.6294
7.61023,3.46645
-19.7326,12.7513
-inf,12.0581
-26.2404,3.82803
-101.742,6.3782
12.9256,4.73011
-18.6911,-44.3922
-inf,7.4123
16.4281,6.2395
11.232,5.68291
19.1047,9.81491
-inf,12.0394
13.2384,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
