Camera TTC,Lidar TTC
6.95266e-310,2.96439e-323
6.95266e-310,2.96439e-323
-inf,12.264
-inf,12.264
12.7502,6.51271
13.4217,384.178
12.5265,13.869
11.7285,10.3493
39.1512,18.7875
10.2931,15.8894
nan,9.85736
125.073,14.9877
nan,10.1
13.5782,9.22307
2.85312,10.9678
2.85312,10.9678
13.9876,8.81392
11.1009,10.2926
nan,8.30978
nan,8.30978
11.8105,5.32421
11.8105,5.32421
13.395,6.80636
13.395,6.80636
13.395,6.80636
15.0862,7.78987
12.8031,11.0891
29.2577,7.06
18.5163,12.6681
14.5245,7.25063
13.6828,7.24126
10.5009,11.0404
-39.946,11.1568
-inf,9.22618
13.0481,7.12179
10.6235,5.94783
11.3009,10.6294
7.69329,7.22569
-20.6094,4.46839
-16.4353,6.56329
20.5202,3.82803
-inf,8.76489
261.292,13.0475
93.9833,6.51064
-inf,7.4123
15.0205,6.2395
10.29,5.68291
-inf,9.81491
-inf,12.0394
240.988,13.7636
-inf,13.6636
33.2207,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
