Camera TTC,Lidar TTC
6.95293e-310,2.96439e-323
6.95293e-310,2.96439e-323
12.2395,12.264
11.0246,16.963
10.781,6.51271
-inf,384.178
11.5816,13.869
-inf,10.7972
8.95665,18.7875
13.47,15.8894
-inf,9.85736
5.96008,14.9877
14.9136,10.1
6.3262,9.22307
31.9846,10.9678
8.68208,8.09422
6.34289,8.81392
11.3219,10.2926
4.71741,8.30978
-inf,7.64316
9.96502,4.73885
9.96502,4.73885
9.8087,6.27253
9.8087,6.27253
9.8087,6.27253
9.8087,6.27253
-inf,8.45833
-352.436,7.06
-16.0588,12.6681
-11.5999,7.25063
-inf,7.24126
-inf,11.0404
96.4986,10.9404
-5761.76,9.22618
13.2527,7.60959
11.6915,6.59279
7.14711,10.6294
8.48811,7.03287
39.1534,6.49878
35.8326,12.0581
-inf,3.85801
-177.711,8.76489
-inf,13.0475
-34.6841,6.51064
-inf,7.4123
13.4122,6.2395
-15.7141,5.68291
-167.644,9.81491
-57.2341,12.0394
-17.4529,13.7636
-inf,13.6636
-147.344,12.0866
-17.7668,13.053
-inf,-443.932
-inf,-222.066
-33.0648,-222.166
360.246,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
