Camera TTC,Lidar TTC
6.95266e-310,2.96439e-323
15.8832,12.9722
11.6187,12.264
18.5335,16.963
35.326,6.51271
25.6083,384.178
-inf,13.869
19.9077,14.026
9.12145,12.9569
-inf,15.8894
-inf,9.85736
9.15809,14.9877
-inf,10.1
9.91242,9.22307
9.56052,10.9678
-inf,8.09422
15.8113,8.81392
8.84033,10.2926
20.8795,8.30978
8.41869,7.64316
21.8353,5.45869
21.3094,6.8337
8.52581,6.80636
10.7322,8.43069
11.9973,6.70212
26.107,6.82999
-inf,8.45277
-inf,7.06
-inf,12.6681
126.335,7.25063
23.7033,7.24126
17.008,10.4382
26.0872,10.9404
-inf,9.22618
14.4598,7.60959
12.0295,6.59279
9.36892,10.6294
8.17115,7.03287
10.4934,4.46839
18.4353,12.0581
20.9366,3.82803
12.7313,8.76489
7.96283,13.0475
14.1956,6.51064
14.8994,7.4123
14.7073,6.2395
-inf,5.68291
-inf,9.81491
-inf,12.0394
-inf,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-23.5264,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
