Camera TTC,Lidar TTC
6.95308e-310,2.96439e-323
12.8695,12.9722
10.5162,12.264
11.669,16.963
53.5842,6.51271
502.13,384.178
21.1449,13.869
-inf,14.026
10.4477,12.9569
15.1132,15.8894
11.1389,9.85736
10.1214,14.9877
-inf,10.1
7.94456,9.22307
13.7643,10.9678
13.6989,8.09422
9.56045,8.81392
18.3228,10.2926
10.7852,8.30978
8.56276,7.64316
9.57657,5.45869
7.18521,6.8337
9.00537,6.80636
11.792,8.43069
11.578,6.70212
12.5588,6.82999
124.757,8.45277
133.094,7.06
-195.628,12.6681
-133.194,7.25063
53.3309,7.24126
25.1329,10.4382
-inf,10.9404
-inf,9.22618
21.3539,7.60959
9.72726,6.59279
10.7532,10.6294
6.82921,7.03287
11.0616,4.46839
-inf,12.0581
24.8514,3.82803
38.6976,8.76489
10.388,13.0475
27.1837,6.51064
24.2065,7.4123
12.5913,6.2395
78.0534,5.68291
-inf,9.81491
-inf,12.0394
-inf,13.7636
-inf,13.6636
-inf,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-59.7378,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
