Camera TTC,Lidar TTC
0,0
18.1743,12.9722
12.6733,12.264
10.2239,16.963
13.7116,6.51271
14.3502,384.178
16.46,13.869
15.1518,14.026
12.4606,12.9569
18.3059,15.8894
12.6119,9.85736
12.3951,14.9877
11.1251,10.1
12.6063,9.22307
11.2629,10.9678
12.7605,8.09422
11.8855,8.81392
9.35436,10.2926
10.43,8.30978
12.7854,7.64316
8.756,5.45869
11.4489,6.8337
12.2954,6.80636
11.7754,8.43069
8.63886,6.70212
11.1048,6.82999
11.1071,8.45277
12.4947,7.06
10.0359,12.6681
11.7243,7.25063
13.2703,7.24126
15.7748,10.4382
14.8,10.9404
18.0945,9.22618
12.1555,7.60959
11.2415,6.59279
9.91839,10.6294
10.6748,7.03287
12.6896,4.46839
11.2294,12.0581
11.5632,3.82803
10.9119,8.76489
7.67426,13.0475
7.49179,6.51064
8.07292,7.4123
8.47959,6.2395
9.72564,5.68291
13.4471,9.81491
12.7303,12.0394
14.1064,13.7636
15.7734,13.6636
19.1624,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
