Camera TTC,Lidar TTC
6.95252e-310,2.96439e-323
12.3686,12.9722
12.4651,12.264
12.6051,16.963
12.3806,6.51271
13.0123,384.178
12.8474,13.869
12.2996,14.026
12.5964,12.9569
13.3159,15.8894
12.5923,9.85736
11.7851,14.9877
11.8008,10.1
11.8037,9.22307
11.2447,10.9678
11.3426,8.09422
11.5287,8.81392
10.4847,10.2926
10.2952,8.30978
12.381,7.64316
9.22757,5.45869
10.7379,6.8337
10.784,6.80636
11.9126,8.43069
8.55275,6.70212
10.5845,6.82999
13.0226,8.45277
11.1821,7.06
13.0276,12.6681
12.0299,7.25063
11.561,7.24126
12.4179,10.4382
14.8007,10.9404
15.3282,9.22618
9.64523,7.60959
10.7158,6.59279
8.2303,10.6294
8.16464,7.03287
8.79721,4.46839
8.36171,12.0581
8.31034,3.82803
7.04108,8.76489
7.04876,13.0475
7.57665,6.51064
7.62537,7.4123
7.34614,6.2395
8.60339,5.68291
10.3505,9.81491
12.8381,12.0394
12.4017,13.7636
15.0889,13.6636
19.5435,12.0866
-inf,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
