Camera TTC,Lidar TTC
0,0
14.5185,12.9722
9.93645,12.264
15.185,16.963
13.0297,6.51271
13.1436,384.178
15.0225,13.869
12.2776,14.026
13.0708,12.9569
12.7155,15.8894
12.5274,9.85736
11.1224,14.9877
11.9654,10.1
11.3442,9.22307
10.401,10.9678
11.0453,8.09422
11.0108,8.81392
10.2192,10.2926
9.92931,8.30978
12.3715,7.64316
7.51192,5.45869
10.1822,6.8337
8.80478,6.80636
11.2639,8.43069
8.08845,6.70212
10.1523,6.82999
10.846,8.45277
12.4971,7.06
10.8771,12.6681
11.7581,7.25063
11.7795,7.24126
12.6401,10.4382
14.8,10.9404
18.5627,9.22618
11.5075,7.60959
10.0599,6.59279
9.63605,10.6294
9.63731,7.03287
10.3666,4.46839
9.88294,12.0581
9.74624,3.82803
9.52841,8.76489
7.08948,13.0475
7.43994,6.51064
7.99576,7.4123
8.61733,6.2395
9.41884,5.68291
10.6426,9.81491
11.3831,12.0394
13.9097,13.7636
15.6804,13.6636
19.5525,12.0866
196.754,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
