Camera TTC,Lidar TTC
6.95335e-310,2.96439e-323
12.4906,12.9722
12.1552,12.264
12.5903,13.9161
12.9306,7.11572
12.1828,16.2511
15.6852,12.4213
12.8465,34.3404
13.8395,18.7875
13.1175,15.8894
12.8125,9.85736
12.421,3.83244
11.6358,-10.8537
11.0431,9.22307
11.1867,10.9678
10.8724,8.09422
11.4314,3.17535
8.69225,-9.99424
9.91008,8.30978
12.5032,7.64316
8.58961,4.73885
10.1182,5.2553
10.8724,9.69387
11.4252,8.43069
8.55262,6.92554
9.80497,7.14768
11.3415,9.97707
12.4526,7.06
10.5237,12.6681
10.9492,2.65648
11.3045,-10.5327
12.7042,11.0404
11.7243,10.9404
15.6098,9.22618
10.6505,7.60959
10.1039,6.59279
9.27062,10.6294
8.40361,3.46645
9.66931,12.7513
9.56053,12.0581
8.36431,3.82803
7.96589,6.3782
6.69266,4.73011
7.58308,-44.3922
7.69586,7.4123
8.59353,6.2395
9.0657,5.68291
10.7601,9.81491
11.267,12.0394
13.1665,13.7636
15.075,13.6636
20.018,12.0866
94.4401,13.053
-inf,-443.932
-inf,-222.066
-inf,-222.166
-inf,222.066
-inf,-222.166
-inf,-74.1495
-inf,111.133
-inf,-444.632
-inf,88.818
-inf,-63.5431
-inf,-89.058
-inf,55.5632
-inf,63.4003
-inf,-148.044
-inf,-63.5431
-inf,inf
-inf,-222.516
-inf,49.3454
-inf,147.944
-inf,-44.4811
-inf,444.732
-inf,74.0161
-inf,147.944
-inf,-29.6869
