Camera TTC,Lidar TTC
6.95334e-310,2.96439e-323
11.1369,12.9722
12.9029,12.264
14.3952,13.9161
18.4778,7.11572
16.2232,16.2511
11.7208,12.4213
15.0878,34.3404
15.5756,18.7875
14.9934,15.8894
11.5169,9.85736
14.3756,3.83244
10.6798,-10.8537
9.2886,9.22307
10.8718,10.9678
9.43476,8.09422
8.53375,3.17535
9.36416,-9.99424
9.54427,8.30978
9.60018,7.64316
8.43726,4.73885
8.33579,5.2553
8.92093,9.69387
10.913,8.43069
8.23054,6.92554
9.71719,7.14768
9.46302,9.97707
9.08871,7.06
9.63559,12.6681
11.0522,2.65648
10.774,-10.5327
10.9315,11.0404
12.6023,10.9404
10.2217,9.22618
9.94202,7.60959
8.32175,6.59279
7.67248,10.6294
7.8088,3.46645
7.12031,12.7513
7.80159,12.0581
7.50875,3.82803
6.95976,6.3782
6.04095,4.73011
7.12698,-44.3922
8.38943,7.4123
7.89778,6.2395
8.49338,5.68291
9.19076,9.81491
11.5729,12.0394
12.4931,13.7636
15.2669,13.6636
19.2097,12.0866
35.3561,13.053
73.0737,-443.932
-126.203,-222.066
-79.1913,-222.166
221.956,222.066
2596.38,-222.166
-248.76,-74.1495
-358.846,111.133
-317.255,-444.632
-593.602,88.818
-1074.28,-63.5431
-376.652,-89.058
-729.673,55.5632
-590.989,63.4003
-252.159,-148.044
-307.439,-63.5431
1250.06,inf
-493.904,-222.516
-338.705,49.3454
1554.68,147.944
751.659,-44.4811
-1794.25,444.732
2474.89,74.0161
-3166.21,147.944
1278.23,-29.6869
