Camera TTC,Lidar TTC
6.95289e-310,2.96439e-323
11.5486,12.9722
12.5041,12.264
12.6772,13.9161
19.6447,7.11572
12.5985,16.2511
11.111,12.4213
13.5609,34.3404
14.4611,18.7875
12.8927,15.8894
10.5695,9.85736
11.2887,3.83244
11.4909,-10.8537
9.24521,9.22307
10.2517,10.9678
10.0734,8.09422
8.95836,3.17535
8.68319,-9.99424
9.01231,8.30978
8.16009,7.64316
8.53988,4.73885
8.62796,5.2553
8.4778,9.69387
8.71522,8.43069
8.89819,6.92554
10.4736,7.14768
10.1935,9.97707
10.2038,7.06
9.44106,12.6681
10.2969,2.65648
9.78533,-10.5327
11.1247,11.0404
11.6326,10.9404
10.5552,9.22618
9.83302,7.60959
8.29178,6.59279
7.98285,10.6294
8.17411,3.46645
8.99027,12.7513
8.14603,12.0581
7.91904,3.82803
8.46803,6.3782
6.7613,4.73011
7.29929,-44.3922
7.46594,7.4123
8.13101,6.2395
8.362,5.68291
8.7904,9.81491
9.76715,12.0394
11.7395,13.7636
14.5191,13.6636
18.0356,12.0866
30.2316,13.053
74.6197,-443.932
-135.775,-222.066
-85.6717,-222.166
294.005,222.066
-1096.02,-222.166
-192.785,-74.1495
-304.042,111.133
-762.717,-444.632
-271.487,88.818
-1216.99,-63.5431
-442.457,-89.058
-347.963,55.5632
-1293.37,63.4003
-300.292,-148.044
-384.083,-63.5431
1483.49,inf
-923.631,-222.516
-460.606,49.3454
-838.295,147.944
695.04,-44.4811
-1810.93,444.732
1921.73,74.0161
2479.07,147.944
7393.77,-29.6869
